N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
159,영원무역,"42,300",900,-2.08%,500,"18,744","44,311",26.90,"152,717",12.13,8.03,
160,한국앤컴퍼니,"19,350",250,-1.28%,500,"18,370","94,935",10.01,"198,108",8.92,5.08,
161,아이에스동서,"59,400","1,200",-1.98%,500,"18,350","30,893",4.72,"64,306",14.35,10.92,
162,롯데정밀화학,"68,700",500,+0.73%,"5,000","17,725","25,800",19.98,"198,534",9.03,12.65,
163,한미반도체,"35,250",150,+0.43%,200,"17,435","49,460",7.19,"466,677",28.80,21.03,
164,두산,"104,500","1,000",+0.97%,"5,000","17,267","16,524",11.53,"290,753",-12.58,-34.34,
165,KG동부제철,"17,200",150,-0.86%,"5,000","17,202","100,009",1.09,"281,968",19.07,7.18,
166,LS ELECTRIC,"56,400",400,-0.70%,"5,000","16,920","30,000",14.27,"83,659",21.50,6.15,
167,지누스,"106,000","1,500",+1.44%,500,"16,748","15,800",22.97,"68,950",34.98,11.61,
168,DL,"79,300","1,200",-1.49%,"5,000","16,618","20,956",16.09,"117,658",4.25,11.84,
169,LG생활건강우,"779,000","9,000",+1.17%,"5,000","16,357","2,100",85.39,"3,728",16.79,N/A,
170,녹십자홀딩스,"34,600",300,-0.86%,500,"16,272","47,028",4.78,"271,010",9.18,19.74,
171,명신산업,"30,700",700,+2.33%,500,"16,108","52,470",1.19,"951,693",-13.31,-67.39,
172,NHN,"82,200","1,300",+1.61%,500,"16,082","19,565",11.84,"98,481",60.00,1.35,
173,KODEX 단기채권PLUS,"103,080",0,0.00%,0,"16,022","15,543",0.00,"1,346,885",N/A,N/A,
174,에스엘,"33,000","1,200",-3.51%,500,"15,907","48,203",16.73,"341,327",14.41,4.74,
175,종근당,"136,500","1,500",-1.09%,"2,500","15,597","11,426",7.79,"73,264",17.57,17.88,
